nato	russianukrainianwar	30
russia	usa	756
russia	russiaukrainewar	400
nato	russia	566
russiaukrainewar	usa	32
nato	usa	196
nato	russiaukrainewar	20
mariupol	ukrainerussiawar	306
covid19	ukraine	110
eu	nato	224
news	ukraine	294
freeukraine	ukraine	224
russiaukraineconflict	ukraine	104
freeukraine	russiaukraineconflict	2
kiev	kyiv	196
russia	ukraine	8438
nowar	standwithukraine	78
putin	russia	1350
india	russia	186
icj	india	2
icj	russia	88
russia	russian	528
planesforukraine	standwithukraine	174
putinswar	ukraine	118
putin	standwithukraine	164
ukrainerussiawar	ukraineunderattack	1048
ue	usa	40
eu	usa	96
europe	usa	110
russie	usa	36
eu	ue	6
europe	ue	12
russie	ue	16
russia	ue	32
eu	europe	46
eu	russie	2
eu	russia	166
europe	russie	80
europe	russia	150
russia	russie	28
stpatricksday	ukraine	290
kyiv	zelensky	86
ukrainerussiawar	zelensky	188
stopputin	stopwar	134
russia	ukraina	1024
breaking	ukraine	354
anonymous	ukraine	192
nato	ukraina	204
ukraina	ukraineunderattack	100
ukraina	ukrainerussiawar	184
putin	ukrainerussiawar	252
europe	nato	46
mariupol	ukraine	2030
mariupol	warcrimes	26
ukraine	warcrimes	206
ukraine	zelensky	1504
bitcoin	russia	64
bundestag	zelensky	1464
bundestag	ukraine	514
russia	ukrainerussiawar	1182
putinwarcriminal	russia	194
putinwarcriminal	ukrainerussiawar	150
kiev	ukraine	472
europe	ukraine	414
ukraine	ukrainerussiawar	2606
guerra	russia	102
guerra	ukraina	250
stopwar	ukrainerussiawar	42
stopputin	ukraine	578
ue	ukraine	20
standwithukraine	ukraine	1520
breaking	ukrainerussiawar	56
biden	news	16
ukraineunderattack	war	94
china	putin	42
putin	russian	628
china	russian	34
slavaukraini	standwithukraine	88
putinwarcrimes	ukraine	60
belarus	ukraine	192
belarus	russia	212
france	ukraine	138
uae	ukrainerussiawar	4
russia	uae	342
kremlin	ukraina	12
russland	ukraine	332
syrian	ukraine	8
kiev	ukraina	342
chernihiv	ukrainerussiawar	78
ukrainerussiawar	usa	104
azov	ukrainerussiawar	14
chernihiv	usa	4
azov	chernihiv	4
azov	usa	8
kyiv	ukraine	2520
moscow	ukraine	106
ukraine	usa	508
moscow	russia	152
kyiv	russia	336
kyiv	moscow	26
moscow	usa	10
kyiv	usa	1406
ukraine	us	874
kyiv	us	12
stopputin	stopthewar	54
standwithukraine	stopputin	218
standwithukraine	stopthewar	1662
